,score
0,0.0
1,1.0000000000000004
2,1.45
3,1.4499999999999995
4,1.9499999999999997
5,2.1875000000000004
6,2.625
7,2.870833333333334
8,2.7687499999999994
9,2.9083333333333328
10,3.3937499999999994
11,3.7270833333333333
12,3.225
13,3.6412499999999994
14,3.48375
15,3.912976190476191
16,4.614464285714287
17,4.582886904761904
18,4.527232142857142
19,4.455416666666667
20,3.8881249999999996
21,5.315238095238095
22,5.911339285714287
23,4.62767857142857
24,4.767450396825397
25,4.311868686868687
26,6.212123015873015
27,6.416737012987014
28,6.552187049062049
29,5.549954212454212
30,5.966148989898991
31,5.30359126984127
32,6.100970695970694
33,7.575615079365079
34,4.949460470085471
35,6.320277777777778
36,5.324854797979799
37,5.241919191919191
38,5.218869047619045
39,6.761121031746033
40,4.760945165945167
41,5.936929824561403
42,4.664374098124098
43,4.553988095238096
44,7.787496704684203
45,6.770482642357642
46,5.123472638472639
47,5.101282051282053
48,4.2756821099651985
49,4.547965993050711
50,6.247339015151514
51,4.47318095204589
52,4.498710317460318
53,5.221540199566516
54,6.225535714285713
55,3.7849024420627684
56,7.9711397058823525
57,6.757259262476653
58,6.595694444444445
59,9.665624999999997
60,7.9620982142857155
61,8.542873376623374
62,7.1519047619047615
63,8.045809990662931
64,7.406458333333333
65,9.01294642857143
66,10.036874999999998
67,8.217043650793652
68,8.402547868797868
69,9.279055735930736
70,6.685441468253969
71,9.921784188034188
72,11.925036075036074
73,8.501376123876122
74,9.402827380952377
75,10.619349682180564
76,9.077981254856256
77,8.685722622965272
78,6.176371336996337
79,9.14564194298134
80,10.759149114774115
81,9.458012924575424
82,8.231468253968252
83,10.594857609710552
84,12.636704649517153
85,9.298355038326267
86,6.963939636752137
87,8.33435935463192
88,10.026914682539683
89,7.2107133783614055
90,10.8976422841864
91,8.574337398712396
92,6.175662196098534
93,6.691638873275062
94,5.970532799024646
95,6.218295285124231
96,8.999539848738218
97,7.063362072109555
98,5.339750430840873
99,7.98498241904004
100,5.687328433138282
101,7.053785106147721
102,7.855598882455693
103,5.808582506550548
104,6.799913976230389
105,6.289053867651646
106,8.758010882091764
107,5.761735482907896
108,10.95658654846298
109,9.914448005698006
110,8.224415066551098
111,6.883464799353631
112,6.48349510385269
113,6.264890735879106
114,4.48861243515918
115,6.96540612165612
116,8.018907926594107
117,6.097732530458126
118,11.101304023313018
119,8.78254531443911
120,8.173787065631418
121,7.239309458816037
122,10.724197563243616
123,5.771298783868947
124,7.669539024628249
125,11.216236359959765
126,8.026401717244106
127,6.339445688177941
128,9.032980099037381
129,8.864131272763373
130,9.576324908751381
131,11.042555279927296
132,16.215082499716118
133,12.235007470599578
134,9.88210464189663
135,7.809048745372277
136,8.657084249755622
137,7.240460375869822
138,8.002930117413747
139,12.501516212545624
140,11.501473144551998
141,11.876163442874535
142,7.198915031727534
143,13.528449675060742
144,10.551374268602439
145,15.49428525406071
146,12.855247790436742
147,10.027570309119223
148,8.97077738833602
149,5.839147903200237
150,13.852165499318431
151,10.935174154702928
152,12.313965985215985
153,11.827586519961516
154,9.080879647706352
155,11.352422993331015
156,14.065170248523028
157,8.467342384082622
158,11.072422019195272
159,7.614909964095591
160,8.9702595244319
161,9.608285813451253
162,7.098053862255284
163,11.930287949169532
164,8.12233001846245
